df2_No,df2_地区名,df2_施設名,df2_住所,df2_地震,df2_津波,df2_高潮,df2_洪水,df2_土砂,df2_z,共通ID,市町村,更新日
50,桑原,松山市畑寺福祉センター（１階、２階部分）,松山市畑寺4-8-5,O,O,O,A,A,42.2,E3820100505111,松山市,2025/1/16
51,桑原,愛媛大学附属高等学校（体育館）,松山市樽味3-2-40,O,O,O,X,O,42.67,E3820100347111,松山市,2025/1/16
52,桑原,松山東雲女子大学・短期大学（体育館）,松山市桑原3-2-1,O,O,O,O,O,42.92,E3820100107111,松山市,2025/1/16
53,桑原,愛媛慈恵会地域交流ホーム,松山市束本2-13-3,O,O,O,A,O,30.58,E3820100322111,松山市,2025/1/16
54,桑原,愛媛県研修所（講堂兼体育館）,松山市東野4-225,X,O,O,O,O,70.8,E3820100663111,松山市,2025/1/16
55,道後,道後公民館,松山市道後町1-5-31,O,O,O,A,O,38.6,E3820100446111,松山市,2025/1/16
56,道後,道後小学校,松山市石手4-10-5,O,O,O,A,O,42.9,E3820100302111,松山市,2025/1/16
57,道後,湯築小学校,松山市道後北代10-41,O,O,O,A,O,33.2,E3820100450111,松山市,2025/1/16
58,道後,道後中学校,松山市上市1-3-57,O,O,O,A,O,40.5,E3820100244111,松山市,2025/1/16
59,道後,道後保育園,松山市道後姫塚123-1,O,O,O,O,X,53.3,E3820100448111,松山市,2025/1/16
60,道後,道後公民館祝谷分館,松山市祝谷5-7-15,O,O,O,O,A,44.8,E3820100209111,松山市,2025/1/16
61,道後,道後公民館祝谷東町分館,松山市祝谷東町乙742-34,X,O,O,O,X,102.7,E3820100213111,松山市,2025/1/16
62,道後,愛媛大学教育学部附属小学校（体育館）,松山市持田町1-5-22,O,O,O,X,O,35,E3820100197112,松山市,2025/1/16
63,道後,愛媛大学教育学部附属中学校（体育館）,松山市持田町1-5-22,O,O,O,X,O,35.4,E3820100197111,松山市,2025/1/16
64,味生,味生公民館,松山市別府町177-1,O,O,O,A,O,7.3,E3820100544111,松山市,2025/1/16
65,味生,味生小学校,松山市別府町166-4,O,O,O,A,O,6.2,E3820100543111,松山市,2025/1/16
66,味生,味生第二小学校,松山市別府町3-1,O,O,O,O,A,10.6,E3820100545111,松山市,2025/1/16
67,味生,津田中学校,松山市北斎院町1106,O,O,O,A,X,7.8,E3820100562111,松山市,2025/1/16
68,味生,味生保育園,松山市北斎院町759-1,O,O,O,A,O,6.7,E3820100565111,松山市,2025/1/16
69,味生,済美平成中等教育学校（体育館）,松山市空港通5-6-3,O,O,O,X,O,9.72,E3820100100111,松山市,2025/1/16
70,味生,学校法人新田学園（中央体育館）,松山市山西町663,X,O,X,X,O,4.6,E3820100186111,松山市,2025/1/16
71,生石,生石公民館,松山市高岡町860-67,O,O,O,A,O,6.1,E3820100162111,松山市,2025/1/16
72,生石,生石小学校,松山市高岡町630-3,O,O,O,A,O,6.3,E3820100158111,松山市,2025/1/16
73,生石,西中学校,松山市高岡町409,O,O,O,A,O,6.32,E3820100154111,松山市,2025/1/16
74,生石,生石保育園,松山市高岡町860-1,O,O,O,A,O,5.9,E3820100161111,松山市,2025/1/16
75,生石,生石公民館北吉田分館,松山市北吉田町1237-2,X,O,A,A,O,2.91,E3820100557111,松山市,2025/1/16
76,生石,生石公民館高岡分館,松山市高岡町566,O,O,O,A,O,7.1,E3820100156111,松山市,2025/1/16
77,垣生,垣生公民館,松山市西垣生町1228-2,O,O,O,A,O,4.75,E3820100286111,松山市,2025/1/16
78,垣生,垣生小学校,松山市西垣生町730-1,O,O,A,A,O,3.37,E3820100291111,松山市,2025/1/16
79,垣生,垣生中学校,松山市西垣生町418,O,O,A,A,O,3.12,E3820100290111,松山市,2025/1/16
80,垣生,木の実幼稚園（遊戯場）,松山市西垣生町1690-1,O,X,X,X,O,2.19,E3820100288111,松山市,2025/1/16
81,宮前,宮前公民館,松山市古三津1-26-48,O,X,A,A,O,2.51,E3820100121111,松山市,2025/1/16
82,宮前,宮前小学校,松山市祓川1-3-39,O,X,A,A,O,2.16,E3820100658111,松山市,2025/1/16
83,宮前,中須賀保育園,松山市中須賀1-12-17,O,X,X,A,O,1.9,E3820100350111,松山市,2025/1/16
84,三津浜,三津浜公民館,松山市三津3-2-30,O,O,A,O,O,4.14,E3820100175112,松山市,2025/1/16
85,三津浜,三津浜小学校,松山市梅田町2-42,O,O,A,O,O,3.61,E3820100490111,松山市,2025/1/16
86,三津浜,三津浜中学校,松山市若葉町8-48,O,X,A,A,O,2.67,E3820100204111,松山市,2025/1/16
87,三津浜,三津浜幼稚園,松山市神田町1-41,O,X,X,A,O,2.7,E3820100266111,松山市,2025/1/16
88,三津浜,松山市地域交流センター,松山市三津3-2-30,O,O,A,O,O,4.03,E3820100175111,松山市,2025/1/16
89,高浜,高浜公民館,松山市梅津寺町1335-4,O,O,X,O,A,4.2,E3820100487111,松山市,2025/1/16
90,高浜,高浜小学校,松山市梅津寺町1352-2,O,O,O,O,A,9.8,E3820100488111,松山市,2025/1/16
91,高浜,高浜中学校,松山市梅津寺町乙52,O,O,O,O,A,15.1,E3820100489111,松山市,2025/1/16
92,高浜,高浜保育園,松山市高浜町6-1674,O,X,X,O,A,2.9,E3820100166111,松山市,2025/1/16
93,高浜,高浜公民館新浜分館,松山市新浜町14-28,O,X,X,O,O,1.9,E3820100258111,松山市,2025/1/16
94,高浜,高浜公民館高浜１丁目分館,松山市高浜1-1398-3,O,O,O,O,O,6.2,E3820100164111,松山市,2025/1/16
95,久枝,久枝公民館,松山市西長戸町299,O,O,O,A,O,10.5,E3820100297111,松山市,2025/1/16
96,久枝,久枝小学校,松山市安城寺町586-1,O,O,O,A,O,8.5,E3820100009111,松山市,2025/1/16
97,久枝,みどり小学校,松山市西長戸町493-2,O,O,O,A,O,11.2,E3820100298111,松山市,2025/1/16
98,久枝,久枝公民館船ケ谷分館,松山市船ケ谷町237-1,O,O,O,O,O,15.8,E3820100319111,松山市,2025/1/16
99,久枝,松山盲学校（体育館）,松山市久万ノ台112,O,O,O,X,O,15.59,E3820100086111,松山市,2025/1/16
100,久枝,松山西中等教育学校（体育館）,松山市久万ノ台1485-4,O,O,O,O,O,14.1,E3820100088111,松山市,2025/1/16
101,久枝,学校法人松山聖陵学園 松山聖陵高等学校（体育館）,松山市久万ノ台1112,O,O,O,O,O,24.72,E3820100085111,松山市,2025/1/16
102,潮見,潮見公民館,松山市吉藤4-3-16,O,O,O,A,O,15.4,E3820100065111,松山市,2025/1/16
103,潮見,潮見小学校,松山市吉藤4-7-13,O,O,O,O,O,14.5,E3820100066111,松山市,2025/1/16
104,潮見,鴨川中学校,松山市鴨川2-7-19,O,O,O,O,O,11.2,E3820100060111,松山市,2025/1/16
105,潮見,潮見公民館平田分館,松山市平田町272-4,X,O,O,O,O,8.8,E3820100540111,松山市,2025/1/16
106,潮見,潮見公民館吉藤分館,松山市吉藤5-19-20,O,O,O,A,O,24.2,E3820100067111,松山市,2025/1/16
107,潮見,潮見公民館谷分館,松山市谷町甲260-3,O,O,O,O,O,15.9,E3820100346111,松山市,2025/1/16
108,和気,和気公民館,松山市太山寺町1226-1,O,X,A,A,O,3.3,E3820100323111,松山市,2025/1/16
109,和気,和気小学校,松山市太山寺町671-3,O,X,A,A,O,2.4,E3820100330111,松山市,2025/1/16
110,和気,北中学校,松山市太山寺町491-1,O,O,O,O,O,4.9,E3820100329111,松山市,2025/1/16
111,和気,和気公民館勝岡分館,松山市勝岡町112,O,X,X,A,O,1.5,E3820100215111,松山市,2025/1/16
112,和気,和気公民館太山寺分館,松山市太山寺町1593-2,O,O,O,O,A,13.1,E3820100327111,松山市,2025/1/16
113,和気,和気公民館朝汐分館,松山市和気町2-925-2,O,X,X,A,O,1.37,E3820100650111,松山市,2025/1/16
114,和気,松山聾学校（体育館）,松山市馬木町2325,O,O,X,O,O,4.5,E3820100486111,松山市,2025/1/16
115,堀江,堀江公民館,松山市堀江町甲1400-1,O,O,A,O,O,4.81,E3820100597111,松山市,2025/1/16
116,堀江,堀江小学校,松山市福角町甲1409-2,O,O,O,A,O,9.3,E3820100524111,松山市,2025/1/16
117,堀江,内宮中学校,松山市内宮町569-1,O,O,O,O,O,5.8,E3820100451111,松山市,2025/1/16
118,堀江,堀江保育園,松山市堀江町甲1654-9,O,X,X,X,O,1.3,E3820100598111,松山市,2025/1/16
119,堀江,堀江公民館東大栗分館,松山市東大栗町780-1,O,O,O,O,O,140.5,E3820100424111,松山市,2025/1/16
120,堀江,堀江公民館大西二分館,松山市堀江町甲863-5,X,X,X,X,O,3.31,E3820100601111,松山市,2025/1/16
121,堀江,四国電設工業株式会社松山営業所,松山市堀江町甲805-8,O,A,A,A,O,1.79,E3820100671111,松山市,2025/1/16
122,余土,余土公民館,松山市余戸東4-4-34,O,O,O,A,O,8.43,E3820100634111,松山市,2025/1/16
123,余土,余土小学校,松山市余戸東1-14-17,O,O,O,A,O,8.99,E3820100631111,松山市,2025/1/16
124,余土,さくら小学校,松山市余戸中4-11-1,O,O,O,A,O,7.84,E3820100629111,松山市,2025/1/16
125,余土,余土中学校,松山市保免西4-5-23,O,O,O,A,O,10.46,E3820100551111,松山市,2025/1/16
126,余土,椿中学校,松山市市坪南1-1-20,O,O,O,A,O,14.34,E3820100190111,松山市,2025/1/16
127,余土,余土保育園,松山市余戸東4-1-19,O,O,O,A,O,8.87,E3820100633111,松山市,2025/1/16
128,余土,余土公民館保免中分館,松山市保免中2-1-17,O,O,O,A,O,12.84,E3820100553111,松山市,2025/1/16
129,余土,余土公民館余戸中分館,松山市余戸中2-8-22,X,O,O,A,O,7.53,E3820100628111,松山市,2025/1/16
130,余土,余土公民館市坪分館,松山市市坪北1-3-13,O,O,O,X,O,13.2,E3820100191111,松山市,2025/1/16
131,由良,由良公民館,松山市由良町1048-2,O,X,A,O,A,2.4,E3820100622111,松山市,2025/1/16
132,由良,もものはなこども園,松山市由良町479,O,X,X,O,O,2.2,E3820100624111,松山市,2025/1/16
133,由良,由良小学校跡（体育館）,松山市由良町869,O,X,X,O,O,2.5,E3820100625111,松山市,2025/1/16
134,由良,由良公民館門田分館,松山市門田町地先,O,X,X,O,A,2.7,E3820100615111,松山市,2025/1/16
135,泊,泊公民館,松山市泊町818,O,X,X,O,O,3.3,E3820100497111,松山市,2025/1/16
136,泊,興居島小学校,松山市泊町甲425-3,O,X,X,O,O,3.2,E3820100499112,松山市,2025/1/16
137,泊,興居島小学校釣島分校,松山市泊町1465,O,X,X,O,O,1.9,E3820100494111,松山市,2025/1/16
138,泊,興居島中学校,松山市泊町甲425-3,O,X,A,O,O,3.4,E3820100499111,松山市,2025/1/16
139,泊,泊小学校跡,松山市泊町618-1,O,X,X,O,X,3.1,E3820100496111,松山市,2025/1/16
140,泊,泊公民館船越分館,松山市泊町1368先船越緑地,O,X,X,O,O,2.9,E3820100493111,松山市,2025/1/16
141,久米,久米公民館,松山市鷹子町823,O,O,O,A,O,40.26,E3820100342111,松山市,2025/1/16
142,久米,窪田小学校,松山市久米窪田町307,O,O,O,A,O,46.61,E3820100079111,松山市,2025/1/16
143,久米,北久米小学校,松山市福音寺町9,O,O,O,O,O,37.8,E3820100521111,松山市,2025/1/16
144,久米,福音小学校,松山市福音寺町355-1,O,O,O,O,O,31,E3820100520111,松山市,2025/1/16
145,久米,久米小学校,松山市鷹子町15-1,O,O,O,A,O,42.1,E3820100336111,松山市,2025/1/16
146,久米,久米中学校,松山市来住町689,O,O,O,A,O,38.59,E3820100641111,松山市,2025/1/16
147,久米,久米保育園,松山市鷹子町4-4,O,O,O,A,O,42.21,E3820100338111,松山市,2025/1/16
148,久米,久米公民館鷹子分館,松山市鷹子町632,O,O,O,A,O,48.37,E3820100340111,松山市,2025/1/16
149,久米,学校法人松山学院 松山学院高等学校（体育館）,松山市北久米町815,O,O,O,X,X,28.5,E3820100561111,松山市,2025/1/16
150,湯山,湯山公民館,松山市末町甲94-1,O,O,O,O,X,85.7,E3820100608111,松山市,2025/1/16
151,湯山,湯山小学校,松山市食場町甲128,O,O,O,O,A,76.3,E3820100255111,松山市,2025/1/16
152,湯山,湯山中学校,松山市溝辺町甲508-1,O,O,O,A,X,62.3,E3820100147111,松山市,2025/1/16
153,湯山,小百合保育園,松山市溝辺町甲528,O,O,O,X,O,61.3,E3820100148111,松山市,2025/1/16
154,湯山,湯山公民館宿野分館,松山市宿野町甲205,X,O,O,O,X,136.5,E3820100207111,松山市,2025/1/16
155,湯山,湯山公民館倉敷分館,松山市溝辺町甲286-4,O,O,O,X,O,51.9,E3820100144111,松山市,2025/1/16
156,湯山,溝辺ふれあいセンター,松山市溝辺町565-2,O,O,O,X,A,59.2,E3820100141111,松山市,2025/1/16
157,日浦,日浦公民館,松山市河中町甲346,O,O,O,O,O,270.3,E3820100046111,松山市,2025/1/16
158,日浦,日浦小学校,松山市河中町甲79-2,O,O,O,O,X,290.2,E3820100047111,松山市,2025/1/16
159,日浦,日浦中学校,松山市河中町188-1,O,O,O,O,O,277.3,E3820100045111,松山市,2025/1/16
160,日浦,日浦公民館藤野分館,松山市藤野町甲225-1,O,O,O,O,X,259.7,E3820100442111,松山市,2025/1/16
161,伊台,伊台公民館,松山市下伊台町1474-1,O,O,O,O,O,157.2,E3820100035111,松山市,2025/1/16
162,伊台,伊台小学校,松山市下伊台町1438-1,O,O,O,A,A,148.1,E3820100034111,松山市,2025/1/16
163,伊台,旭中学校,松山市下伊台町1105-1,O,O,O,A,O,142.8,E3820100031111,松山市,2025/1/16
164,伊台,伊台保育園,松山市下伊台町1493-1,O,O,O,O,O,152.7,E3820100036111,松山市,2025/1/16
165,伊台,伊台公民館伊台ハイツ分館,松山市下伊台町1278,O,O,O,O,O,161.6,E3820100032111,松山市,2025/1/16
166,伊台,伊台公民館本村分館,松山市上伊台町215-1,O,O,O,O,X,176.3,E3820100243111,松山市,2025/1/16
167,五明,五明公民館,松山市菅沢町甲247-1,O,O,O,O,A,310.7,E3820100274111,松山市,2025/1/16
168,五明,五明小学校,松山市菅沢町乙45-4,O,O,O,O,X,303.3,E3820100272112,松山市,2025/1/16
169,五明,五明幼稚園,松山市菅沢町乙45-4,O,O,O,O,X,303.1,E3820100272111,松山市,2025/1/16
170,五明,五明公民館菅沢分館,松山市菅沢町甲267-1,X,O,O,O,X,314.1,E3820100275111,松山市,2025/1/16
171,小野,小野公民館,松山市北梅本町759,O,O,O,O,O,78.23,E3820100590111,松山市,2025/1/16
172,小野,小野小学校,松山市平井町3673,O,O,O,A,O,80.15,E3820100533111,松山市,2025/1/16
173,小野,小野中学校,松山市平井町3690,O,O,O,A,O,77.7,E3820100534111,松山市,2025/1/16
174,小野,平井保育園,松山市平井町甲118,O,O,O,X,O,78.64,E3820100535111,松山市,2025/1/16
175,小野,小野公民館小野谷分館,松山市小野町甲79,O,O,O,X,X,144.9,E3820100236111,松山市,2025/1/16
176,小野,小野公民館太尺寺分館,松山市北梅本町6,X,O,O,O,O,107.6,E3820100589111,松山市,2025/1/16
177,小野,小野公民館駄場分館,松山市北梅本町2631,X,O,O,X,O,109.9,E3820100587111,松山市,2025/1/16
178,浮穴,浮穴公民館,松山市森松町469-6,O,O,O,A,O,30.69,E3820100259111,松山市,2025/1/16
179,浮穴,浮穴小学校,松山市森松町832,O,O,O,A,O,35.2,E3820100261111,松山市,2025/1/16
180,浮穴,南第二中学校,松山市森松町943,O,O,O,A,O,32.65,E3820100263111,松山市,2025/1/16
181,浮穴,浮穴保育園,松山市南高井町1608-2,O,O,O,X,O,36.42,E3820100468111,松山市,2025/1/16
182,浮穴,浮穴公民館井門分館,松山市井門町768,O,O,O,X,O,24.11,E3820100015111,松山市,2025/1/16
183,浮穴,浮穴公民館森松分館,松山市森松町645-1,X,O,O,X,O,33.07,E3820100260111,松山市,2025/1/16
184,浮穴,浮穴公民館南高井分館,松山市南高井町1318,O,O,O,X,O,43.32,E3820100466111,松山市,2025/1/16
185,浮穴,松山中央高等学校（体育館）,松山市井門町1220,O,O,O,X,O,21.34,E3820100014111,松山市,2025/1/16
186,石井,石井公民館,松山市居相1-8-26,O,O,O,A,O,22.59,E3820100096111,松山市,2025/1/16
187,石井,石井小学校,松山市東石井6-8-52,O,O,O,A,O,23.12,E3820100422111,松山市,2025/1/16
188,石井,石井北小学校,松山市和泉南1-3-32,O,O,O,X,O,18.89,E3820100652111,松山市,2025/1/16
189,石井,椿小学校,松山市和泉南6-1-47,O,O,O,A,O,15.69,E3820100655111,松山市,2025/1/16
190,石井,石井東小学校,松山市越智1-3-35,O,O,O,A,O,30.18,E3820100021111,松山市,2025/1/16
191,石井,南中学校,松山市東石井7-2-52,O,O,O,A,O,23.28,E3820100423111,松山市,2025/1/16
192,石井,石井幼稚園,松山市西石井6-4-29,O,O,O,A,O,22.18,E3820100293111,松山市,2025/1/16
193,石井,石井保育園,松山市西石井6-4-34,O,O,O,A,O,22.59,E3820100294111,松山市,2025/1/16
194,石井,つばき保育園,松山市古川北2-18-30,O,O,O,A,O,17.1,E3820100132111,松山市,2025/1/16
195,石井,石井公民館古川分館,松山市古川南1-20-13,O,O,O,X,O,15.9,E3820100127111,松山市,2025/1/16
196,石井,石井公民館一の宮団地分館,松山市古川南3-10-15,O,O,O,X,O,17.85,E3820100129111,松山市,2025/1/16
197,石井,石井公民館越智分館,松山市越智2-3-25,X,O,O,A,O,27.29,E3820100022111,松山市,2025/1/16
198,石井,石井公民館北土居分館,松山市北土居１-4-21,O,O,O,A,O,28.96,E3820100582111,松山市,2025/1/16
199,石井,古川ふれあいセンター,松山市古川南1-20-18,O,O,O,X,O,16.27,E3820100128111,松山市,2025/1/16
200,石井,朝生田ふれあいセンター,松山市朝生田町6-3-32,O,O,O,X,O,17.86,E3820100380111,松山市,2025/1/16
201,石井,聖カタリナ学園高等学校（体育館）,松山市朝生田町4-9-9,X,O,O,X,O,21.35,E3820100020111,松山市,2025/1/16
201,石井,聖カタリナ学園高等学校（体育館）,松山市朝生田町4-9-9,X,O,O,X,O,21.35,E3820100378111,松山市,2025/1/16
202,荏原,荏原公民館,松山市東方町955,O,O,O,A,O,47.13,E3820100427111,松山市,2025/1/16
203,荏原,荏原小学校,松山市東方町甲1245,O,O,O,A,O,56.37,E3820100428111,松山市,2025/1/16
204,荏原,荏原幼稚園,松山市東方町甲1493-3,O,O,O,O,O,56.48,E3820100430111,松山市,2025/1/16
205,荏原,荏原公民館津吉分館,松山市津吉町696,X,O,O,O,X,68,E3820100389111,松山市,2025/1/16
206,荏原,荏原公民館中野分館,松山市中野町甲323,X,O,O,X,O,56,E3820100372111,松山市,2025/1/16
207,荏原,荏原公民館大橋分館,松山市大橋町56,O,O,O,A,O,45.76,E3820100335111,松山市,2025/1/16
208,坂本,坂本公民館,松山市久谷町70,O,O,O,O,A,91.6,E3820100074111,松山市,2025/1/16
209,坂本,坂本小学校,松山市久谷町30,O,O,O,A,O,88.6,E3820100072111,松山市,2025/1/16
210,坂本,久谷中学校,松山市浄瑠璃町940,O,O,O,O,O,73.3,E3820100253111,松山市,2025/1/16
211,坂本,坂本幼稚園,松山市久谷町24,O,O,O,A,O,88.3,E3820100071111,松山市,2025/1/16
212,坂本,坂本公民館出口分館,松山市久谷町甲215,O,O,O,O,X,98.1,E3820100078111,松山市,2025/1/16
213,坂本,坂本公民館久谷中組分館,松山市久谷町812,O,O,O,O,O,114.8,E3820100075111,松山市,2025/1/16
214,坂本,坂本公民館奥久谷分館,松山市久谷町甲1780,O,O,O,O,X,188.5,E3820100077111,松山市,2025/1/16
215,坂本,坂本公民館桜分館,松山市窪野町2119,X,O,O,O,X,278.2,E3820100102111,松山市,2025/1/16
216,坂本,坂本公民館窪野北谷分館,松山市窪野町1099,X,O,O,O,X,262.5,E3820100101111,松山市,2025/1/16
217,浅海,浅海公民館,松山市浅海原甲603-1,O,O,X,O,O,3.2,E3820100314111,松山市,2025/1/16
218,浅海,浅海小学校,松山市浅海本谷甲728,O,O,O,O,O,10.1,E3820100318111,松山市,2025/1/16
219,浅海,浅海保育園,松山市浅海本谷甲719-1,O,X,X,O,O,2.8,E3820100317111,松山市,2025/1/16
220,浅海,浅海公民館萩原分館,松山市萩原甲287-3,X,O,O,O,X,122.5,E3820100492111,松山市,2025/1/16
221,浅海,浅海公民館真沖分館,松山市浅海本谷甲354-11,O,X,X,O,O,2.8,E3820100316111,松山市,2025/1/16
222,浅海,浅海公民館小竹分館,松山市浅海本谷甲232-2,O,X,X,O,O,3.1,E3820100315111,松山市,2025/1/16
223,浅海,京ヶ森集会所,松山市浅海原甲1-5,X,X,X,O,X,2,E3820100311111,松山市,2025/1/16
224,浅海,浅海公民館浅海原分館,松山市浅海原甲538-1,O,X,X,O,O,2.9,E3820100313111,松山市,2025/1/16
225,浅海,浅海公民館味栗分館,松山市浅海原甲1112-1,X,O,O,O,O,13.4,E3820100310111,松山市,2025/1/16
226,立岩,立岩公民館,松山市猿川甲747,O,O,O,X,X,103.3,E3820100028111,松山市,2025/1/16
227,立岩,立岩小学校,松山市猿川原甲49,O,O,O,O,O,98.1,E3820100025111,松山市,2025/1/16
228,立岩,立岩公民館才之原分館,松山市才之原甲737-1,O,O,O,X,O,54,E3820100173111,松山市,2025/1/16
229,立岩,猪木集会所,松山市猪木甲３４１－１,X,O,O,O,X,282.8,E3820100668111,松山市,2025/1/16
230,立岩,立岩公民館猿川下分館,松山市猿川甲371-2,O,O,O,O,X,153.7,E3820100026111,松山市,2025/1/16
231,立岩,立岩公民館湯裾分館,松山市猿川甲722-2,O,O,O,O,X,113.2,E3820100027111,松山市,2025/1/16
232,立岩,立岩公民館大遊寺分館,松山市猿川甲924-1,O,O,O,O,O,129.8,E3820100029111,松山市,2025/1/16
